category, apps
LIFESTYLE,489
GAME_ACTION,360
FAMILY_BRAINGAMES,274
MAPS_AND_NAVIGATION,473
NEWS_AND_MAGAZINES,451
GAME_CARD,505
PARENTING,399
GAME_CASINO,380
EDUCATION,374
COMICS,439
MEDICAL,386
HOUSE_AND_HOME,459
GAME_PUZZLE,452
BEAUTY,437
PERSONALIZATION,521
BUSINESS,456
GAME_EDUCATIONAL,411
FINANCE,419
BOOKS_AND_REFERENCE,499
GAME_SIMULATION,338
FAMILY_ACTION,275
FAMILY,279
GAME_ROLE_PLAYING,342
FAMILY_CREATE,309
GAME_WORD,492
FAMILY_EDUCATION,318
ANDROID_WEAR,473
PHOTOGRAPHY,527
PRODUCTIVITY,484
GAME_CASUAL,409
TOOLS,489
EVENTS,327
SPORTS,479
GAME_ADVENTURE,363
GAME_ARCADE,425
HEALTH_AND_FITNESS,441
MUSIC_AND_AUDIO,489
VIDEO_PLAYERS,453
COMMUNICATION,483
GAME_MUSIC,458
SHOPPING,381
GAME_SPORTS,292
ART_AND_DESIGN,508
AUTO_AND_VEHICLES,296
WEATHER,489
FAMILY_MUSICVIDEO,387
FOOD_AND_DRINK,356
FAMILY_PRETEND,279
GAME_TRIVIA,484
ENTERTAINMENT,450
LIBRARIES_AND_DEMO,403
TRAVEL_AND_LOCAL,467
DATING,442
GAME_RACING,366
GAME_BOARD,513
GAME_STRATEGY,174
SOCIAL,486
